ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
GHA,116418,Age specific fertility rate: 10-14,2,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A10,11763005,I,1000,0,Total,Total,0,,1,1,FEFRTRWA10,,1988,DHS,,,,,
GHA,116431,Age specific fertility rate: 15-19,125,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1988,DHS,,,,,
GHA,202331,Women first married by exact age 15,12.8,1,GH,Ghana,1988,GH1988DHS,MA_MBAG_W_B15,41603010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB15,,1988,DHS,2772,2772,,,
GHA,202332,Women first married by exact age 18,48.2,1,GH,Ghana,1988,GH1988DHS,MA_MBAG_W_B18,41603020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB18,,1988,DHS,2772,2772,,,
GHA,815472,Neonatal mortality rate,43,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1988,DHS,,,35,51,
GHA,785162,Neonatal mortality rate,47,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1988,DHS,,,41,53,
GHA,104810,Under-five mortality rate,155,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1988,DHS,,,139,171,
GHA,104889,Under-five mortality rate,154,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1988,DHS,,,141,166,
GHA,554587,Assistance during delivery from a skilled provider,40.9,1,GH,Ghana,1988,GH1988DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACSKP,,1988,DHS,2565,2565,,,
GHA,195252,Assistance during delivery from a skilled provider,40.1,1,GH,Ghana,1988,GH1988DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACSKP,,1988,DHS,4136,4136,,,
GHA,752952,Assistance during delivery from a skilled provider,40.9,1,GH,Ghana,1988,GH1988DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACSKP,,1988,DHS,1689,1689,,,
GHA,410525,DPT 3 vaccination received,24.3,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP3,93906040,I,1000,0,Total,Total,0,,1,1,CHVACCCDP3,,1988,DHS,782,782,,,
GHA,116953,Age specific fertility rate: 10-14,1,0,GH,Ghana,1993,GH1993DHS,FE_FRTR_W_A10,11763005,I,1000,0,Total,Total,0,,1,1,FEFRTRWA10,,1993,DHS,,,,,
GHA,116954,Age specific fertility rate: 15-19,116,0,GH,Ghana,1993,GH1993DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1993,DHS,,,,,
